GEOID,SUMLEV,STATE,COUNTY,CBSA,CSA,NECTA,CNECTA,NAME,POP100,HU100,POP100.2000,HU100.2000,P017001,P017001.2000,P017002,P017002.2000,P017003,P017003.2000
37001020100,140,37,001,15500,268,,,Census Tract 201,3908,2033,4077,2011,2.13,,0.50,,1.64,
37001020200,140,37,001,15500,268,,,Census Tract 202,4152,1867,4334,1874,2.61,,0.69,,1.92,
37001020300,140,37,001,15500,268,,,Census Tract 203,8063,3074,7740,2939,2.77,,0.84,,1.93,
37019020307,140,37,019,48900,999,,,Census Tract 203.07,158,1111,85,573,1.90,,0.01,,1.89,
37001020501,140,37,001,15500,268,,,Census Tract 205.01,3575,1605,3120,1335,2.54,,0.53,,2.01,
37001020502,140,37,001,15500,268,,,Census Tract 205.02,3782,1502,3276,1242,2.72,,0.84,,1.88,
37001020601,140,37,001,15500,268,,,Census Tract 206.01,3234,1428,3225,1318,2.38,,0.46,,1.92,
37001020602,140,37,001,15500,268,,,Census Tract 206.02,2414,1285,2411,1191,2.07,,0.38,,1.69,
37001020701,140,37,001,15500,268,,,Census Tract 207.01,4519,2536,3948,2004,2.04,,0.38,,1.66,
37001020802,140,37,001,15500,268,,,Census Tract 208.02,5857,2696,5781,2565,2.47,,0.66,,1.82,
37001020901,140,37,001,15500,268,,,Census Tract 209.01,3583,1571,2862,1233,2.44,,0.62,,1.81,
37001020902,140,37,001,15500,268,,,Census Tract 209.02,3380,1407,2699,1105,2.52,,0.62,,1.89,
37001021000,140,37,001,15500,268,,,Census Tract 210,3720,1792,3838,1731,2.41,,0.66,,1.75,
37001021101,140,37,001,15500,268,,,Census Tract 211.01,2668,1281,2662,1175,2.41,,0.60,,1.81,
37001021102,140,37,001,15500,268,,,Census Tract 211.02,3318,1538,3311,1410,2.29,,0.49,,1.80,
37001021201,140,37,001,15500,268,,,Census Tract 212.01,5252,2382,5102,2232,2.51,,0.64,,1.88,
37001021204,140,37,001,15500,268,,,Census Tract 212.04,4280,1764,3686,1431,2.59,,0.66,,1.93,
37001021205,140,37,001,15500,268,,,Census Tract 212.05,4636,2067,3652,1630,2.36,,0.60,,1.76,
37001021206,140,37,001,15500,268,,,Census Tract 212.06,4320,1821,3402,1436,2.59,,0.72,,1.87,
37001021207,140,37,001,15500,268,,,Census Tract 212.07,3086,1450,2431,1143,2.33,,0.57,,1.76,
37001021300,140,37,001,15500,268,,,Census Tract 213,6057,2502,5103,2059,2.62,,0.62,,2.01,
37001021400,140,37,001,15500,268,,,Census Tract 214,2650,1205,7249,3145,2.40,,0.50,,1.91,
37001021600,140,37,001,15500,268,,,Census Tract 216,6934,2381,5312,1879,2.35,,0.48,,1.88,
37001021701,140,37,001,15500,268,,,Census Tract 217.01,3237,1428,2272,901,2.33,,0.51,,1.82,
37001021702,140,37,001,15500,268,,,Census Tract 217.02,5282,1879,3708,1186,2.55,,0.46,,2.09,
37001021802,140,37,001,15500,268,,,Census Tract 218.02,3553,1535,2831,1203,2.53,,0.62,,1.90,
37001021803,140,37,001,15500,268,,,Census Tract 218.03,2879,1250,2294,980,2.54,,0.59,,1.95,
37001021901,140,37,001,15500,268,,,Census Tract 219.01,4535,1984,3615,1582,2.50,,0.60,,1.89,
37001021902,140,37,001,15500,268,,,Census Tract 219.02,4423,1840,3526,1468,2.62,,0.65,,1.97,
37001022002,140,37,001,15500,268,,,Census Tract 220.02,4276,1799,3515,1399,2.58,,0.65,,1.93,
37003040300,140,37,003,25860,999,,,Census Tract 403,3202,1406,3128,1274,2.53,,0.55,,1.98,
37003040400,140,37,003,25860,999,,,Census Tract 404,6552,3026,6069,2676,2.40,,0.57,,1.83,
37003040500,140,37,003,25860,999,,,Census Tract 405,6982,2997,25309,10446,2.60,,0.67,,1.93,
37003040600,140,37,003,25860,999,,,Census Tract 406,6347,2472,4762,2015,2.51,,0.59,,1.93,
37003040700,140,37,003,25860,999,,,Census Tract 407,6645,2950,5893,2446,2.46,,0.53,,1.94,
37005950200,140,37,005,99999,999,,,Census Tract 9502,3870,2125,3626,1826,2.27,,0.50,,1.77,
37005950300,140,37,005,99999,999,,,Census Tract 9503,3206,2588,3060,3374,2.29,,0.40,,1.89,
37007920200,140,37,007,16740,172,,,Census Tract 9202,1738,844,1680,730,2.50,,0.56,,1.95,
37007920300,140,37,007,16740,172,,,Census Tract 9203,8178,2747,6412,2203,2.53,,0.59,,1.93,
37007920400,140,37,007,16740,172,,,Census Tract 9204,3032,1407,3151,1367,2.57,,0.69,,1.89,
37007920600,140,37,007,16740,172,,,Census Tract 9206,4451,2035,4569,1851,2.66,,0.69,,1.96,
37009970300,140,37,009,99999,999,,,Census Tract 9703,2470,1596,2409,1309,2.29,,0.45,,1.85,
37009970400,140,37,009,99999,999,,,Census Tract 9704,4525,2506,4080,2127,2.28,,0.48,,1.80,
37009970700,140,37,009,99999,999,,,Census Tract 9707,5926,4225,4717,2831,2.34,,0.45,,1.89,
37019990100,140,37,019,48900,999,,,Census Tract 9901,0,0,0,0,0.00,,0.00,,0.00,
37011930200,140,37,011,99999,999,,,Census Tract 9302,2723,5316,2994,4696,2.17,,0.37,,1.80,
37011930301,140,37,011,99999,999,,,Census Tract 9303.01,3515,2338,3546,2093,2.30,,0.48,,1.81,
37011930302,140,37,011,99999,999,,,Census Tract 9303.02,3130,1724,3158,1543,2.36,,0.47,,1.89,
37011930400,140,37,011,99999,999,,,Census Tract 9304,5329,1894,4701,1704,2.39,,0.48,,1.91,
37013930100,140,37,013,47820,999,,,Census Tract 9301,5351,2752,5575,2704,2.37,,0.54,,1.84,
37013930200,140,37,013,47820,999,,,Census Tract 9302,6185,2670,5246,2229,2.52,,0.60,,1.92,
37013930300,140,37,013,47820,999,,,Census Tract 9303,4071,2171,4301,2150,2.15,,0.47,,1.68,
37013930400,140,37,013,47820,999,,,Census Tract 9304,5189,2332,5145,2167,2.33,,0.59,,1.74,
37013930501,140,37,013,47820,999,,,Census Tract 9305.01,4845,2379,4514,2154,2.44,,0.59,,1.85,
37013930502,140,37,013,47820,999,,,Census Tract 9305.02,3469,1545,3231,1399,2.42,,0.56,,1.86,
37013930600,140,37,013,47820,999,,,Census Tract 9306,3224,1566,2857,1342,2.41,,0.50,,1.91,
37013930900,140,37,013,47820,999,,,Census Tract 9309,3904,2587,3104,2002,2.20,,0.31,,1.89,
37013931000,140,37,013,47820,999,,,Census Tract 9310,6051,2758,5195,2333,2.55,,0.68,,1.88,
37015960200,140,37,015,99999,999,,,Census Tract 9602,3953,1820,3653,1597,2.48,,0.61,,1.87,
37015960300,140,37,015,99999,999,,,Census Tract 9603,3667,1785,3870,1654,2.45,,0.56,,1.89,
37017950100,140,37,017,99999,999,,,Census Tract 9501,5693,3989,4669,3010,2.35,,0.50,,1.85,
37017950200,140,37,017,99999,999,,,Census Tract 9502,3366,1505,3167,1373,2.60,,0.65,,1.95,
37017950300,140,37,017,99999,999,,,Census Tract 9503,6719,2931,5314,2389,2.52,,0.63,,1.89,
37017950400,140,37,017,99999,999,,,Census Tract 9504,6252,3011,5982,2663,2.27,,0.53,,1.74,
37017950500,140,37,017,99999,999,,,Census Tract 9505,6707,3175,6307,2905,2.37,,0.56,,1.81,
37019020101,140,37,019,48900,999,,,Census Tract 201.01,2706,1090,1615,606,2.81,,0.79,,2.02,
37019020102,140,37,019,48900,999,,,Census Tract 201.02,2839,1284,1694,715,2.58,,0.67,,1.91,
37019020103,140,37,019,48900,999,,,Census Tract 201.03,7052,3408,4208,1897,2.37,,0.48,,1.89,
37019020104,140,37,019,48900,999,,,Census Tract 201.04,5305,2380,3165,1325,2.48,,0.61,,1.88,
37019020202,140,37,019,48900,999,,,Census Tract 202.02,5719,2670,3009,1372,2.39,,0.50,,1.89,
37019020204,140,37,019,48900,999,,,Census Tract 202.04,5391,2549,2836,1309,2.44,,0.52,,1.92,
37019020304,140,37,019,48900,999,,,Census Tract 203.04,4846,3479,2618,1797,2.09,,0.18,,1.92,
37019020305,140,37,019,48900,999,,,Census Tract 203.05,2774,1969,1498,1017,2.04,,0.36,,1.67,
37019020306,140,37,019,48900,999,,,Census Tract 203.06,2352,1307,1270,675,2.17,,0.34,,1.83,
37019020309,140,37,019,48900,999,,,Census Tract 203.09,2734,3182,2838,2587,2.17,,0.32,,1.85,
37019020310,140,37,019,48900,999,,,Census Tract 203.10,2149,3406,2231,2769,2.04,,0.24,,1.80,
37019020402,140,37,019,48900,999,,,Census Tract 204.02,2359,4526,2099,3837,2.12,,0.29,,1.83,
37019020404,140,37,019,48900,999,,,Census Tract 204.04,3092,2421,2448,1939,2.34,,0.50,,1.84,
37019020505,140,37,019,48900,999,,,Census Tract 205.05,4185,1816,3061,1107,2.63,,0.67,,1.95,
37019020506,140,37,019,48900,999,,,Census Tract 205.06,4175,2249,3054,1371,2.39,,0.50,,1.89,
37019020507,140,37,019,48900,999,,,Census Tract 205.07,6043,4165,3529,2201,2.02,,0.19,,1.83,
37019020508,140,37,019,48900,999,,,Census Tract 205.08,2252,1601,1315,846,2.04,,0.15,,1.89,
37019020509,140,37,019,48900,999,,,Census Tract 205.09,4402,4224,2571,2232,2.09,,0.27,,1.82,
37019020510,140,37,019,48900,999,,,Census Tract 205.10,2160,2346,1909,1902,2.16,,0.37,,1.79,
37019020511,140,37,019,48900,999,,,Census Tract 205.11,2502,2136,2212,1731,2.14,,0.31,,1.83,
37019020601,140,37,019,48900,999,,,Census Tract 206.01,4785,2223,3792,1641,2.40,,0.61,,1.79,
37019020602,140,37,019,48900,999,,,Census Tract 206.02,5147,2236,4079,1650,2.59,,0.62,,1.96,
37021000100,140,37,021,11700,120,,,Census Tract 1,1398,915,1351,667,1.28,,0.03,,1.24,
37021000200,140,37,021,11700,120,,,Census Tract 2,1797,872,1593,824,2.22,,0.54,,1.68,
37021000300,140,37,021,11700,120,,,Census Tract 3,2159,997,1594,799,2.33,,0.43,,1.90,
37021000800,140,37,021,11700,120,,,Census Tract 8,3530,1622,2774,1507,1.98,,0.34,,1.64,
37021001000,140,37,021,11700,120,,,Census Tract 10,3977,1885,3574,1665,2.31,,0.51,,1.80,
37021001300,140,37,021,11700,120,,,Census Tract 13,3955,1782,3460,1539,2.44,,0.59,,1.86,
37021001400,140,37,021,11700,120,,,Census Tract 14,7191,3121,6190,2681,2.45,,0.59,,1.86,
37021001500,140,37,021,11700,120,,,Census Tract 15,2158,1099,2117,1035,2.21,,0.43,,1.78,
37021001600,140,37,021,11700,120,,,Census Tract 16,6019,3037,5520,2629,2.20,,0.38,,1.82,
37021002000,140,37,021,11700,120,,,Census Tract 20,6032,2787,4951,2264,2.28,,0.52,,1.76,
37021002101,140,37,021,11700,120,,,Census Tract 21.01,1375,698,1504,662,2.38,,0.50,,1.88,
37021002102,140,37,021,11700,120,,,Census Tract 21.02,5084,2431,4301,1906,2.32,,0.51,,1.81,
37021002203,140,37,021,11700,120,,,Census Tract 22.03,4739,2149,3398,1552,2.45,,0.67,,1.78,
37021002204,140,37,021,11700,120,,,Census Tract 22.04,7926,4332,5684,3128,2.05,,0.43,,1.62,
37021002205,140,37,021,11700,120,,,Census Tract 22.05,6412,2711,5578,2192,2.42,,0.55,,1.88,
37021002206,140,37,021,11700,120,,,Census Tract 22.06,4734,2577,4118,2084,2.01,,0.35,,1.66,
37021002301,140,37,021,11700,120,,,Census Tract 23.01,5301,2557,3568,1602,2.41,,0.56,,1.85,
37021002302,140,37,021,11700,120,,,Census Tract 23.02,7558,3599,5629,2633,2.32,,0.52,,1.81,
37021002402,140,37,021,11700,120,,,Census Tract 24.02,4666,2211,4095,1791,2.40,,0.56,,1.84,
37021002504,140,37,021,11700,120,,,Census Tract 25.04,4536,2015,3844,1658,2.48,,0.58,,1.90,
